Unnamed: 0,Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
11,GloWorld,"   Hello . Kindly be informed that data depletion is based on your usage. Please confirm that this 08077545359 is your correct number. There was no 7GB data subscription on the line, the current data plan is the pre-activated N100 plan.   **Adigun",0,0,0.65,0.3,Strong
12,iamorjiemmanuel,"GLO feel off big time!! Network's shit, data plan is shit",0,0,0.5666666666666668,-0.13333333333333333,Weak
13,GloWorld," Hello  , sorry about your experience.  Checks show that you have an active N500_Oneoff data plan.  When this happened, may I know if you took any steps to make the situation better, like restarting the phone or changing your network mode(2G,3G,4G)? *Justin",0,0,0.7000000000000001,-0.04444444444444443,Weak
14,seunsimi,"NCC have merge all Network codes to be the same 
So from today if you have MTN, Airtel, Glo and 9mobile
Use the following code.
1. Data plan *312#
2. Airtime recharge *311#
3. Borrow airtime *303#
4. Data Balance  *323#
5. Account balance *310#
6. Share data  *321#
7. Vas  *305#",1,0,0.1125,0.0,Neutral
15,GloWorld," Hello  , sorry about your experience. Checks show that you do not have an active data plan. *Justin",0,0,0.8,-0.31666666666666665,Weak
16,Ugo_ez,I don’t know which has better data plan between Airtel and Glo.,0,0,0.5,0.5,Strong
17,GloCare," Hello . You may opt for our special data plan. Please go through our *777# menu to view our data bundles and purchase the data plan of your choice. 
-Jane",0,0,0.5714285714285714,0.35714285714285715,Strong
18,GloCare," Hello . Checks show that your line has been worked and that your data plan is active at the moment. Please toggle your flight mode and restart your device now to resume your browsing. We regret any inconvenience caused. 
-Jane",0,0,0.6,-0.13333333333333333,Weak
19,GloWorld,"   Hi , our unlimited 4G data plan goes for 60,000-80,000 monthly. To set this up, you can walk up to any of the Gloworld shops and sign up for the plan or email pricing.enterprise.com.",0,0,0.0,0.0,Neutral
20,GloWorld,"   to view the numbers, please dial *127*00#. To remove any unwanted number, please dial *127*02*NUMBER#. Removal will be successful only when you have an active data plan. *Godwin",1,0,0.85,0.20555555555555557,Strong
21,Aishah_Babby,"Good morning Famclients 🤗
Happy new week.. ❤️
  Get your Cheap Internet Data Plan and Airtime Recharge for Airtel, 9mobile, GLO, MTN,DSTV, GOTV, PHCN and Results check.Also available for your Data giveaways.💯

NO SCAM ZONE ✅ 💯❤️
 #Askforvendors #Vendorspototf https://t.co/COwy6oEcmY",35,33,0.630909090909091,0.4872727272727272,Strong
22,GloCare,"  Hello , sincere apologies for my delayed response. Please note that the Sunday data plan cannot be rolled over and cannot be merged with a regular data plan. 
-Jane",0,0,0.28846153846153844,0.25,Strong
23,GloWorld,"     Our unlimited 4G data plan goes for 60,000-80,000 monthly. To set this up, you can walk up to any of the Gloworld shops and sign up for the plan or email pricing.enterprise.com.",0,0,0.0,0.0,Neutral
24,GloWorld,"   However, if you require a data plan which can be used at any time of the day, you can subscribe to any of our mega plans by dialing *777#. **Elo",0,0,0.0,0.0,Neutral
25,thusomakoa1,"  Spot on. Plus the router and my mom's data plan, I am paying R189 in total.",0,0,0.75,0.0,Neutral
26,TshepisoMaile,  My data plan too,0,0,0.0,0.0,Neutral
27,GloWorld," Hello  . Please note that your campus booster data plan can work anywhere. However, within campus environs, you are charged half of the data volume used while browsing, and when you browse outside the campus environs, charges are back to the regular rate.*Justin",0,0,0.0733974358974359,-0.041666666666666664,Weak
28,GloWorld," Hello  , sorry about your experience. Checks show that you have an active Special_500_Oneoff data plan. May I know the exact network issue you are experiencing: slow, fluctuating or not browsing at all? *Justin",0,0,0.5625,-0.17083333333333334,Weak
29,GloWorld,"   Hello  , sorry about your experience. May I know if you have been able to purchase the data plan?*Justin",0,0,0.8125,0.0,Neutral
30,GloWorld," Hello , I apologise for the delayed response.   Checks show you do not have an active data plan. Kindly dial *312# to subscribe to data. Kindly turn on and off your device flight mode for a better browsing experience. Inconvenience regretted. **Yewande",0,0,0.725,0.39166666666666666,Strong
31,GloCare,"   To check for a data subscription, dial *777#.
To check for a data plan balance, dial *323#.
To check for an airtime balance, dial *310#.
To recharge, dial *311#  **ADA.",0,0,0.0,0.0,Neutral
32,GloWorld,  May I know the data plan you intend to subscribe to via *777# ? Kindly provide your number via DM for checks and assistance.   *Laura,0,0,0.9,0.6,Strong
33,GloWorld,"  Hello , sincere apologies. The N500 data plan gives you 800MB + 1GB which is 1.8GB. The 1GB is a night data bonus which can be viewed via https://t.co/yL8KTjbij4 and can be accessed from 12 am - 5 am.  *Laura",0,0,0.5,0.5,Strong
34,GloWorld,"  Checks on the line show that there is no data. Kindly subscribe to a data plan then put on and off the airplane mode on your device for 60 seconds and try connecting. If the issue persists, kindly revert.   *Laura",0,0,0.9,0.6,Strong
35,GloWorld," Hello , sincere apologies. The N500 data plan gives you 800MB + 1GB which is 1.8GB. The 1GB is a night data bonus which can be viewed via https://t.co/yL8KTjbij4 and can be accessed from 12 am - 5 am.  *Laura",0,0,0.5,0.5,Strong
36,Gutsybless,"NCC Have merge all Network code to the same Code.

MTN, Airtel, Glo and 9mobile  dis is the  codes you will be using now:

1.  Data plan *312#
2.  Airtime recharge *311#
3. Borrow airtime *303#
4. Data Balance  *323#
5.  Account balance *310#
6.  Share data  *321#
7.  Vas  *305#",3,3,0.125,0.0,Neutral
37,MomooreolwaA,"""Dear customer, your data plan will expire soon""
Glo, do you want to wreck me😭😭",3,1,0.0,0.0,Neutral
38,RealEzeki,"Below is the new combined USSD code for mobile network in Nigeria which took effect on 17/May/2023.

MTN, Glo, Airtel, 9Mobile and Ntel

Credit Recharge
*311#

Account balance 
*310# 

Data Plan
*312# 

Data Plan Balance
*323#",0,1,0.45454545454545453,0.13636363636363635,Strong
39,GloWorld," . Please note that once the main data volume is exhausted, the data plan expires irrespective of its validity. The night bonus expires along with the data plan. 
-Jane",0,0,0.5166666666666666,-0.11666666666666668,Weak
40,GloWorld," , please be aware that the nightly bonus data is only valid for the duration of the data plan you purchased.
-Jane",0,0,0.625,0.125,Strong
41,GloWorld,"  , may I know if you are referring to the data plan that expired by 11.15 p.m. last night? 
-Jane",0,0,0.06666666666666667,0.0,Neutral
42,GloWorld,"  Hello , sincere apologies for my delayed response. Checks show that your night data plan expired by 12.43 am this morning.
-Jane",0,0,0.5,0.5,Strong
43,somah_ski,Does Glo have any data plan better than 1500 for 7gb????,1,0,0.5,0.5,Strong
44,niyyhi,Glo is my own problem right now. Glo wants to finish me with messages of a data plan I never subscribed to expiring.,1,0,0.5452380952380952,0.3619047619047619,Strong
45,GloWorld,"    Hello ,  sincere apologies. When you subscribe to a data plan, kindly turn on and off your device's flight mode for a better browsing experience. Sincere apologies for any inconvenience caused. 
**Morayo",1,0,0.6,0.525,Strong
46,GloWorld,"   Hello ,  thank you for reaching us, and I'm sorry for the delay in response. Please dial *127*00# to view the number you shared data with while on an active data plan. 
**Morayo",0,0,0.8,-0.31666666666666665,Weak
47,GloWorld," Hello , I am sorry to hear this. A check shows you do not have an active data plan to browse on 07057333611.",0,0,0.8,-0.31666666666666665,Weak
48,GloWorld," Hello ,  Thank you for reaching us. Please be informed that when you subscribe to the N10,000 data plan, you will only be given 50GB. However, you will be given bonus MB on every recharge on Bereke 10x. 
**Morayo",0,0,1.0,0.0,Neutral
49,GloWorld," Hello , I am sorry to hear this. May I have your number and how much data plan you subscribed for?
**Morayo",0,0,0.6,-0.15,Weak
50,GloWorld,"  .Please note that N2000 data plan gives 9.2GB (5.2GB for day time browsing and 4GB for night browsing )The day time data  was used up completely, while the night data was unused.**Funmi",0,0,0.4,0.1,Strong
51,OluwaAlake,"How To Check Data Balance On GLo
Open up your phone's dialer and punch in *127*0#. You should automatically get a text displaying your current data balance with Glo

Buy Cheap GLo Data Plan at MyData Factory https://t.co/xDRdSsFSaO https://t.co/1GtNQysXGB",0,0,0.5333333333333333,0.13333333333333333,Strong
52,OluwaAlake,"GLo Data Plan 
https://t.co/xDRdSsFSaO https://t.co/yg3M6Cqa9X",0,0,0.0,0.0,Neutral
53,Dr_DeathCODM," Hello, I mistakenly bought a Glo data plan for a MTN number",0,0,0.0,0.0,Neutral
54,Sadon_G, You guys tend to pretend as if you don't know what you are doing. Subscribing to glo data plan is as good as wasting your money. No be by force and I still get the same SMS after activating the DND. https://t.co/OLXoDkjpfM,0,0,0.36250000000000004,0.35,Strong
55,IamDannyben,Best in turning off and turning on airplane mode to activate Glo data plan https://t.co/IyiZC3ts1R,121,57,0.3,1.0,Very Strong
56,__Katrynaa,Glo users please which data plan do you guys use?,3,1,0.0,0.0,Neutral
57,OmotundeOyeban2,"Data promo Data promo !!!!15% discount on any Data plan purchased, Mtn, Airtel, Glo, 9mobil call now 08150494474",0,0,0.0,0.0,Neutral
58,tino_modise, I'm currently using it.. . I'm on the R319 unlimited data plan and it's amazing,0,0,0.65,0.30000000000000004,Strong
59,egaton77," I have severally called your call centre to complain of an unreasonable data exhaustion  but I have up till now not been given a logical explanation. Its sad that one subscribe to a data plan of N5,000 in less than one week it's gone for a lite user. Glo this fraud gat to stop",2,0,0.32916666666666666,-0.10416666666666666,Weak
60,Okikiolaoluwaa,"Wahala .., my data plan will expire soon again? Now I know Glo is really sucking data mehn.. tf, egbami😩🤦🏽‍♂️",2,2,0.2,0.2,Strong
61,DeVixion,"Glo saying ""you can work from home"" with their mega data plan. Lemaooo 🤣

Kuku sack me 😂",1,0,0.0,0.0,Neutral
62,OshobukolaExcel,"I think the entire staff of  is feeding on my data.. because the rate at which my data finishes this day needs to be studied.

Data that I can't finish in a month before, now finishes in a week?

Just how?

Abeg what's the glo or 9mobile data plan like?  is a cheat.",0,0,0.625,0.0,Neutral
63,TijaniWahab9,  Pls brr.. I need a good data plan on glo,0,0,0.6000000000000001,0.7,Very Strong
64,chuks_nadia,"Which network has the best daily data plan?

Airtel or GLO? 🤔",2,1,0.15,0.5,Strong
65,boshiame,"  Hi   
I have a Glo line that bought social bundle and the data plan isn't working. Please Look into this.",0,0,0.06666666666666667,0.03333333333333333,Strong
66,rolams009,"Important notice: The NCC has successfully unified the ussd code for all telecom operators in Nigeria.

For
GLO, MTN, AIRTEL, ETISALAT Recharges and Data dial:

*311# for all recharge
*310# for all credit balance
*312# for all Data plan
*323# for Data balance",0,0,0.975,0.575,Strong
67,KOSCITY1, Glo has most better data plan ever ...,1,0,0.5,0.5,Strong
68,thenameismuzz,It's like I didn't subscribe for rain data plan coz what is this glo,0,0,0.0,0.0,Neutral
69,kopite04,"Pls who can help with the best Glo data plan in the excess of 30gb. 
Am switching from MTN before dey send me back to village.",1,0,0.15,0.5,Strong
70,Jayheff_Femi,Please glo subscribers help me! This their data plan wan finish my life.,0,1,0.15000000000000002,-0.2,Weak
71,GloWorld," Hi , I am sorry to hear this. Kindly DM your Glo number and the data plan purchased so I can check it out for you. *Godwin",0,0,0.95,0.04999999999999999,Strong
72,barhamsmail,"   😂 am I a joke to you. Why are you people like this, you don't even rate us. I told you, you have no monthly data  plan without night data plan. The few ones without night plan have are only valid for one day, highest a week. Glo, you can do better.",0,0,0.5333333333333333,0.09999999999999999,Strong
73,Aishah_Babby,"Good morning Famclients 🤗
Happy new week.. ❤️
Happy new month 💐
  Get your Cheap Internet Data Plan and Airtime Recharge for Airtel, 9mobile, GLO, MTN, Pay DSTV, GOTV, PHCN and Results check.. Also available for your Data giveaways..💯

NO SCAM ZONE ✅ 💯❤️
#Vendorspototf https://t.co/yDNRL2vD5F",76,66,0.6584415584415585,0.4818181818181818,Strong
74,Joshsmithbaba,  glo whats wrong na I did about 4gb worth of data this morning and under 5 minutes u guys said I don't have any data plan again,0,0,0.5,-0.1,Weak
75,GloWorld," Please note that the N500 data plan gives 800MB and 1GB night data (to browse from 12am to 5am). Kindly visit http//hsi.glo.com to view the night data.
**Anugwa",1,0,0.9,0.6,Strong
76,georgeyyaaa,"Once this data plan finish na hostel WiFi like this, I thought Glo had finally changed their ways",0,0,1.0,0.0,Neutral
77,AngryEda,"Switched Mtn for my glo aim and I'm online with ease. Smhhhhh, just hope it stays this way and I find a proper data plan.",0,0,0.1,0.0,Neutral
78,GloWorld,"  Hello, To unshare, please dial *127*02*Glo number #.To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0,0.6,-0.13333333333333333,Weak
79,GloWorld,"  Hello, . To unshare, please dial *127*02*Glo number #.To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0,0.6,-0.13333333333333333,Weak
80,Bouquidivas,  Don't even talk about that Glo self.... They are the worst data plan ever!,0,0,1.0,-1.0,Very Weak
81,friskyrobson,"   Tell your superiors to revised data plan.

Can't remember the last time I subscribed to glo data because it's not giving me the data worth I want

 tried with 6k for 40gb, then they started misbehaving by offering 37.5gb for 6k.

I had to port to , 5k for 40gb",0,0,0.08333333333333334,0.15,Strong
82,ghostmett,"Lol

Someone told me I don’t do WhatsApp calls.

Not like my network is bad o😂. Me that uses glo for calls, I’ll be on sub and still spend day 1k per 30mins calls. 

So if I spend 1hr talking to her per day, I’ve spent 60k on call card in a month, that’s aside my data plan.",0,0,0.48888888888888893,6.47630097698008e-17,Strong
83,GloCare,"    Hello , sincere apologies. Your complaint has been escalated to the concerned unit for resolution. Feedback would be given once done. However, check show that there is currently no data on  09055633832. Kindly subscribe to a data plan,",0,0,0.5,0.2,Strong
84,Pauloyewole3,Glo monthly data plan code 2023 https://t.co/qE5obyVs2F,0,0,0.0,0.0,Neutral
85,segunDaniel22, How will a customer purchase a Glo data plan #500 for 1.8gb and they will give me 800mb then 1gb for night.. as if that isn't stealing,1,0,0.0,0.0,Neutral
86,Thereallegacy12," Glo 
network plus data plan na just rubbish",5,0,0.0,0.0,Neutral
87,WuraolaIfalola,"Our amazing Data plan offers

GLO 1TB 
#90,000
Validity: 365 Days

9MOBILE 425GB 
#42,000
Validity: 90 Days

AIRTEL 120GB + 24GB bonus
#19,000
Validity: 30 Days",11,15,0.45,0.35000000000000003,Strong
88,speedydataplug,"Here are our amazing Data plan offers on all networks.
GLO 1TB 
🏷#80,000
Validity: 365 Days

9MOBILE 425GB 
🏷#45,000
Validity: 90 Days

AIRTEL 120GB + 24GB bonus
🏷#18,000
Validity: 30 Days

Send a DM to order or https://t.co/WvJPCgkJd4

#Vendorspototf 
#Onlinetradefair https://t.co/KYNk5Jb1jA",34,43,0.45,0.35000000000000003,Strong
89,awobuss,"Glo has been harassing &amp; bulling me with this boring &amp; irritating sms: 

Dear Customer, Your existing data plan has exhausted/expired. To continue browsing, dial *777# to buy data plan or dial *108*1# to browse from your main account

and I have tried to reach their call  ...1",0,0,0.7111111111111111,-0.41111111111111104,Weak
90,__adebio1u,It appears that glo’s data plan is worse than Mtn’s.,2,0,0.6,-0.4,Weak
91,ChibuzorOketa,"  If I purchase data plan on my glo SIM, I can't be able to browse with it ,09053491062, this is my phone number",0,0,0.625,0.5,Strong
92,trishijay," Mtn is good but data runs like tap water 
Airtel is good and more economical with more data plan to suit your lifestyle.
Glo will dash u plenty data but will go off for hours without explanation or prior notice 😔 so u will never enjoy the data. 
My verdict : go for Airtel 🙂",7,0,0.5142857142857143,0.3571428571428571,Strong
93,taiwo_oluwadayo,"  pls what’s going on with your network, I usually my data plan for a month but today is 12 and it has finished. How now glo, I purchased this plan on 1st o",0,0,0.25,-0.25,Weak
94,GloWorld,"  sorry, 09038510296 is not a Go user. Only a Glo user can enjoy our data plan. ~Godwin",0,0,0.8333333333333334,-0.033333333333333326,Weak
95,Mide077,"GLO DATA PLAN ☑️
200MB - #100
0.5GB - #200
1GB - #300
2GB - #600
3GB - #900
4GB - #1200
5GB - #1500
https://t.co/PqczhDLZjH",1,0,0.0,0.0,Neutral
96,Olawherz,"Mtn users, which data plan do y’all do cus I’m not sure I’m using this my glo data alone … I’m so done with the network 🤦🏾‍♂️",1,1,0.8888888888888888,-0.25,Weak
97,UchennaVikieben,"GLO: Your Special_1500 has expired. To buy a data plan of your choice visit https://t.co/5GO62t61B7 or dial *777#.

Me: https://t.co/qD0WI41ITX",2,0,0.0,0.0,Neutral
98,_samueld_,  what’s the possibility of getting double data when i subcribe 5k data plan on my glo sim; im on glo brekete,0,0,0.0,0.0,Neutral
99,Emmy_young1,"  why are you guys always like this? Must I complain everyday? Social plan is not working, normal data plan is not working too, you guys have turned me to a pilot cause am always switching on/off my airplane mode. Why Glo",0,0,0.43888888888888883,-0.005555555555555564,Weak
100,Usman349990,I have bought a glo data plan of 1500 and I was debated and no allocation of it from the first bank How can I get my money back https://t.co/Hhp8rQs7qX,0,0,0.16666666666666666,0.125,Strong
101,JalloSam,"             When we pay for data plan in glo *777# what pay for is different from the data we receive. Recently, for instance when you pay for 4k data plan expecting 18Gb, glo will only send you 13Gb, when you pay for 3k expecting a data plan of 13kb they now reduce it to 8Gb. Deception?",0,0,0.6166666666666667,0.0,Neutral
102,GloWorld,"   Hello  , I am sorry to hear this and for the delayed response. Please note that the N1500 data plan will give you  3.5GB + 4GB for night browsing = 7.5GB. Kindly visit https://t.co/yL8KTjbij4 to view data balance. _Paul",1,0,0.95,0.04999999999999999,Strong
103,GloWorld," Hello .  For clarification, do you mean you purchased the N2500 data plan from Glo App? 
*Blessing",0,0,0.6875,-0.3125,Weak
104,GloWorld,"    Hello  , I am sorry for the delayed response. Glo has the  mega data plan of N100,000 valid for a year. Kindly dial *777#.  Thank you. _Paul",0,0,0.95,0.04999999999999999,Strong
105,heissavage7, I just bought data plan and it hasn’t even activated in like 20 mins. I only needed to  browse at midnight with my MIFi off and #Glo keeps reminding me of why i stopped using them. The same epileptic browsing network. I could write a book on how  much Glo made me loose.,1,0,0.3985576923076923,0.03076923076923077,Strong
106,nimii_a,I’ll rather trust AEDC  than trust Glo data plan 😭😭😭😭😭😭😭😭😭,0,0,0.0,0.0,Neutral
107,oluwalonikitan,  Glo as the best and affordable data plan tho but na network be there problem.,0,0,0.3,1.0,Very Strong
108,foreverdeb_,"Glo has a 100k data plan that would last you for a year, tested and trusted.",7,2,0.06666666666666667,0.0,Neutral
109,chinwewrites,"Me: Glo is the worst network ever 
Still me: subscribes glo data plan",0,0,1.0,-1.0,Very Weak
110,livewithlynda,"The ad showcases how Airtel's YouTube data plan enables the protagonists to achieve their dreams, have fun and distract kids with their favorite shows.
Which do you prefer? The high-energy approach of the GLO ad or the emotive storytelling of the",0,0,0.6,0.4,Strong
111,D2Bosun_Daniel, Glo has the best data plan but their network is 😤😤,2,0,0.3,1.0,Very Strong
112,MrBayo_BY, Glo data plan sweet nah no network spoil ham 😳,0,0,0.65,0.35,Strong
113,Sethbertocarlos,"This glo weekend data plan 500 naira for 3gb na scam , I did it yesterday afternoon then don send me notification say e don finish 😂",1,0,0.0,0.0,Neutral
114,olu_mayor01,  I have been enjoying my Glo even with a cheaper data plan,0,0,0.6,0.5,Strong
115,justin_belzy, I think Glo has better data plan,0,0,0.5,0.5,Strong
116,iamadekunleo,"~ that moment you’re about to show a client some products you’ve got on your WhatsApp catalog/insta page and then GLO whispers “your data plan has expired”

How person wan take access bank app😭",1,1,0.15000000000000002,-0.2,Weak
117,YOURdaddy278, I bought a data plan just now and I'm yet to receive it on my glo sim pls help with that,0,0,0.0,0.0,Neutral
118,Kikporastar,"   I fear who no fear Glo... Please they should stop deceiving the people, separate night data from the main data plan ... ",0,0,0.3333333333333333,0.16666666666666666,Strong
119,_Nwaribeaku,"Glo took me for granted when I was using their data plans. 

Stopped using them for about a month, now they want to use “your data plan is expired” messages to finish me 😂😂",0,0,0.0,0.0,Neutral
120,DAdhekegba,"IMPORTANT UPDATE 
👉The *unique MTN CG (Corporate gifting) 1.5GB* data plan is now available  N245/N250
👉 *AIRTEL CG and GLO CG* have been further reduced
👉 *Increased discount for MTN and Airtel airtime* for both smart users and agents
Website: https://t.co/ZWWpD5f72K",0,0,0.5904761904761905,0.23154761904761903,Strong
121,OluchukwuChisom, Glo I want to ask you guys that 1gb nite you guys give for 500 data plan is for what bcos wen my data finish I can’t use it in the night why do you guys put it in the first place if someone can’t use it in the night,0,0,0.3333333333333333,0.25,Strong
122,GloWorld,"  , I am sorry to hear this and for the delayed response. A check showed that you exhausted the Glo Berekete 10x data bonus on your line. Your N1000 data plan is active. Kindly visit https://t.co/yL8KTjbij4 to view details of your data balance. _Paul",1,0,0.7999999999999999,-0.10833333333333336,Weak
123,Toriaforall,"MTN made me subscribe to a data plan on my glo sim for the first time in like 2 years.
Well done o ",2,0,0.3333333333333333,0.25,Strong
124,hendavoss,"Abeg this Glo social data plan called WTF, I thought it was supposed to cover WhatsApp Twitter and Facebook. Pls kindly check, I can only use Facebook and Whatsapp with it.   my phone number is 08054971019",0,0,0.7416666666666667,0.033333333333333326,Strong
125,lawadey,"Good news

Buy your internet bundle at affordable price. Mtn  #225/gig, Airtel  #225/gig, GLO   #235/gig. From our website https://t.co/gX2pZ8cmIL

DATA PLAN
✅✅work on all devices

✅✅faster delivery rate

✅✅cheap and affordable

✅✅a month validation https://t.co/on3BZI1DGE",2,1,0.6000000000000001,0.7,Very Strong
126,olansileReverb," If you use a glo sim
Try the data plan",0,0,0.0,0.0,Neutral
127,appei_ya, Did data plan on GLO n they refused to activate it. Like why? ,0,0,0.0,0.0,Neutral
128,GloWorld,"    Hello  , sincere apologies.  Please dial *127*01*NUMBER#, or SMS SHARE NUMBER to 127, from https://t.co/yL8KTjbij4 or via the Glo cafe app when you have an active data plan. *Nonso",0,0,0.55,0.18333333333333335,Strong
129,chiboyempir3,  why is my sim having issues after I recharged my data plan please fix it i don’t understand why your network is very bad and more terrible than glo God forbid please fix my problem let me use what I paid for even if it won’t last which we al kw,0,0,0.6083333333333334,-0.3524999999999999,Weak
130,ronkedairo,   How do I subscribe to glo data plan without including night data,0,0,0.0,0.0,Neutral
131,MollyVado,  what's the cheapest data plan for your network because I purchase 40GB for 5000 naira with my mtn before they decreased it to 30GB. Pls do you have a cheaper offer because I wanna start subscribing my glo network,0,0,0.7,-0.4,Weak
132,CupofCoffee_xo,"Nah. I gatta change my sim to airtel or Glo for next month’s data plan

I’ve had it up to here with MTN",0,0,0.0,0.0,Neutral
133,GloWorld," Hello, To unshare, please dial *127*02*Glo number #. To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0,0.6,-0.13333333333333333,Weak
134,GloWorld," Hello, To unshare, please dial *127*02*Glo number #. To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0,0.6,-0.13333333333333333,Weak
135,GloCare,"  For places outside these zones, the plans work as normal data bundle plans. To subscribe to the Glo Campus Data Booster data plan of your choice, dial *777# and follow the message prompt. ~ Godwin",0,0,0.35,0.075,Strong
136,GloWorld,"     Hello  , sincere apologies. To remove a number when you have an active data plan, kindly  dial *127*02*glo number# or Send “Remove [glo number]” to 127. *Nonso",0,0,0.6666666666666666,0.32222222222222224,Strong
137,kbabaa, Glo data plan is d cheapest n d best🏃🏃,2,1,0.0,0.0,Neutral
138,MTN180," Sorry for this experience and the delayed response. We are unable to reverse a glo data plan. Please, checks on your line 081323**** show no active data bundle done on 13/3/2023. You  may reach out to your bank for further assistance. CA",0,0,0.65,-0.23333333333333334,Weak
139,dannyfrosh77," Glo
The best 
Very fast for a village area
Though sometimes network de black out.
Nice data plan to sha",1,0,0.6283333333333334,0.42333333333333334,Strong
140,MTN180," Y'ello, I am deeply sorry to read about this. For clarity purposes, do you mean you wanted to subscribe for MTN data but mistakenly subscribe for a glo data plan on your MTN line please? ^NA",0,0,0.84375,-0.40625,Weak
141,TheOluwatayo,"You Can Now Use Thesame Codes For All Network (MTN, Glo, Airtel, 9Mobile)
*300#= Call Centre
*303#= Borrow Service
*305#= Stop Service
*310#= Check Balance
*311*Pin#= Credit Recharge
*312#= Data Plan

#telecommunication",1,1,0.0,0.0,Neutral
142,Duru__peta,"   It’s sooo annoying, they do the same thing with their night plans, after a while they switch to your main data plan instead of using the night bundle, instead of getting a new sim I would rather switch to GLO cause their night plan is unlimited",0,0,0.45321969696969694,-0.12424242424242427,Weak
143,IamJomar_J,"You can now use the same codes for all networks (MTN, GLO, Airtel, and 9mobile)

300 = Call Centre
*303# = Borrow Services;
*305# = STOP Service;
*310# = Check Balance
*311*pin# = Credit Recharge.
*312# = Data Plan",0,0,0.125,0.0,Neutral
144,mosvinbami,"You can now use the same codes for all networks (MTN, GLO, Airtel, and 9mobile)

Nice 👍 

300= Call Centre
303= Borrow Services;
305= STOP Service;
310= Check Balance
311= Credit Recharge.
312= Data Plan
321= Share services
996 =Verification of SIM/NIN",9,2,0.5625,0.3,Strong
145,prince_ibim," Honestly at the moment the best network is Glo; very good with data and last longer with satisfactory internet. Airtel has strong internet signal but poor and light data plan, their data doesn't last at all. 3G can just finish in one hour. Glo first and Airtel next. MTN for calls",1,0,0.44799999999999995,0.3193333333333333,Strong
