Tweet,Analysis
"Kindly restore services to what is used to be. you can increase price and yet alter the plan or quality of service. Also, in the past 1week your network has been so erratic that have to substitute with GLO. I have attached a picture of the mail received as evidence.",Strong
"  it will be nice to port MTN Hynetflex card MTN 0803200 MTN 0803201 and MTN 0806200 all to Airtel and Glo if i can't  have quality  of service. At Ofiran Ibeju Lekki 
So sad using Airtel to log complain for 4 MTNN sim cards",Strong
"   it will be nice to port MTN Hynetflex card MTN 0803200 MTN 0803201 and MTN 0806200 all to Airtel and Glo if i can't  have quality  of service. At Ofiran Ibeju Lekki 
So sad using Airtel to log complain for 4 MTNN sim cards",Strong
"But again, the quality of service differs with location. Glo is really great where I stay but the moment I get to Third Mainland, it is downright crap. 9mobile used to be great at some point but I think they have lost it.  Fibre One comes highly recommended but it's not mobile.",Strong
 This means we will all have to change our devices and sims all over again without any significant change in quality of service! E.G. Glo has been the worst data network since they went 4g. It will be worse when 5g hits!,Weak
"There's clearly a collusion amongst these telecom companies in Nigeria, Glo, Airtel and the rest. No one seems to be different in its charges and quality of service.",Strong
 why is glo network so poor on acme road both voice and data is extremely bad quality of service?,Weak
"   GPRS/EDGE of other networks is far better than Glo 4G (even 5G) in 85% of their coverage areas.

From most of the comments here, I hope   and the owner, really feels the pulse of subscribers and improve their network Quality of Service",Strong
 Don't even try it.. There quality of service will drastically reduce just like Glo,Neutral
"   Glo has developed their services, it is fast, liable and better in price than MTN, but the problem is once a Nigerian company gets monopoly of a market their prices go up and quality of service goes down. If we can change this, then we are good.",Strong
 Why is glo 4G band only on band 28...700mhz.?it's restrictive for most new smartphone users please... Improve your quality of service if you truly want better customers...! Now i have to look out for other available options since my smartphone doesn't support the band...!🙄🙄😑,Strong
" I like this testimony. However, my issue with Glo is Quality of Service. That’s why I use 9mobile which is more expensive but their data dey like Chinese 4g - Super fast.",Strong
" Good day Glo
I've been using Glo 4 like 3months nw but the quality of service seems to be depreciating everyday.
I'm not happy I can't exhaust my bonuses bcos of no network &amp; u guys told me that my Gionee X1S is not compatible with my 4G sim please reply.",Strong
"Glo is very poor in service delivery this days, many people are angry about this, glo is our own but need to improve on quality of service.",Strong
"  But can you compare the quality of service offered by both networks? If tomorrow, Glo decides to approach the government to invest and improve service delivery and they say ""hey, MTN are doing fine without us and they're Nigerian too so we will turn you down) would it be wrong?",Weak
"Price war on data for Digital Inclusion...#Airtel, #Glo, #MTN, #Vodacom 
Need a fair regulation to balance price to quality of service.",Strong
" I think it's high time glo focus more on improving the quality of their data service. As a subscriber, the quality of service I'm getting for the past few days is pretty poor. Something needs to be done urgently.",Strong
" please what you guys doing about the quality of service! Because Mtn has been very crappy of late,you guys competing with Glo now!",Strong
"AirtelTigo, Glo, MTN, and Vodafone were fined for their non-compliance with various Quality of Service (QoS) requirements.

AirtelTigo (GHS11,635,000.00), Glo (GHS4,460,000.00), MTN (GHS9,080,000.00) and Vodafone (GHS8,890,000.00). https://t.co/2KI1xZCIv9",Neutral
Glo basically invests so much in marketing and advertisements while neglecting upgrading their infrastructure cum quality of service. Once you leave any city center glo network becomes practically useless cc ,Weak
"#RR #Africa #Telecoms 

[#Ghana fines all 4 mobile telcos (Airtel Tigo, MTN, Glo &amp; Vodafone) a total of $7m for not complying with quality of service requirements following spot checks in Q1 2018]
 #FocusOnAfrica https://t.co/JLx29bsQLG",Neutral
"The National Communications Authority (NCA) has sanctioned all four Mobile Network Operators (MNOs); AirtelTigo, Glo, MTN and Vodafone for their non-compliance with various Quality of Service (QoS) requirements. The four have been fined a total of GHC34,065,000.00..... https://t.co/9q5cVWPJ9m",Neutral
"Quality of service fines:
• AirtelTigo - GHC11,635,000
• Glo - GHC4,460,000
• MTN - GHC9,080,000
• Vodafone - GHC8,890,000",Neutral
"So NCA fines all telcos GH¢34m over poor quality of service... Are they going to give it to us(users) or they are going to chop it  
   Glo",Weak
"The National Communications Authority (NCA) has sanctioned all four Mobile Network Operators (MNOs); AirtelTigo, Glo, MTN and Vodafone for their non-compliance with various Quality of Service (QoS) requirements. The four have been fined a total of GHC34,065,000 https://t.co/u3iNi6f19z",Neutral
#Ghana Mobile Network #Quality of Service (QoS) #Monitoring Results for the 2018 First Quarter. - https://t.co/v5n1yN4E0E #Airteltigo #Ashanti #Eastern #Glo #GloSimcard #GreaterAccra #Mtn #Nca #Northern #Vodafone #WesternRegions #ghana #nigeria #africa #techology https://t.co/tf8sEMtftX,Strong
#Nca Publishes Quarter Two Quality of Service #Monitoring Results for Five #Regions. - https://t.co/GAfQlPW972 #Airteltigo #BrongAhafo #Ghana #Glo #Mtn #UpperEast #UpperWestRegions #Vodafone #Volta #ghana #nigeria #africa #techology https://t.co/OtHvQrxk5M,Neutral
UPDATES: Glo Subscribers Relish Improved Quality Of Service. FIRS rakes in N13b from billionaire tax debtors. Osun Decides 2018: Agoro commends Ooni for not voting. Edo secures electricity license for Benin... https://t.co/F8G9I4HZTL,Neutral
"How is anyone allowing Glo advertise #Data? The quality of service Glo gives should have warranted a ban from , but don't hold your breath.",Neutral
"NCA Quality Of Service Monitoring 
Glo covers only a third of total number of districts.

#NewsOnTV3 
#3NewsGH",Neutral
Glo underperforms in NCA’s quality of service monitoring | More here: https://t.co/ASuKjzkbeu #CitiCBS,Strong
Glo underperforms in NCA’s Quality of Service monitoring https://t.co/HadQI5fS5l via ,Neutral
Glo underperforms in NCA’s Quality of Service monitoring https://t.co/7giLBiVmh2 via ,Neutral
"Glo underperforms in NCAâ€™s quality of service monitoring  It has emerged that telecoms company, Glo, covers only a third of the total number of districts it is to cover in terms of its 3G... https://t.co/IXsEp7RWTN",Neutral
Glo underperforms in NCA’s Quality of Service monitoring https://t.co/Bg3UpQUU2L https://t.co/wn9ktnGvqI,Neutral
"#erisontechlabs

Glo underperforms in NCA’s quality of service monitoring

https://t.co/SADZqE0rh8",Neutral
"Glo underperforms in NCA’s quality of service monitoring
 | More here: https://t.co/JTSp7GQ8l5 #CitiCBS",Strong
"Glo underperforms in NCA’s quality of service monitoring
 | More here: https://t.co/ASuKjzBMD4 #CitiCBS",Strong
"Glo underperforms in NCAâ€™s Quality of Service monitoring  It has emerged that telecoms company, Glo, covers only a third of the total number of districts it is to cover in terms of its 3G... https://t.co/qaIX00kw0i https://t.co/O9faSkIcG4",Neutral
"$TEL &amp; $GLO: NTC found the quality of service of both telcos acceptable, only weighed down by spotty voice calls for their 3G and 4G handsets.",Weak
"So  have decided to slash their data bundle by half. Why? There's been no improvement in the quality of service, why the change? They did all these without informing their costumers too.

I guess it's time to break my GLO sim.",Weak
"For glo their edge is coverage.... I am sure they are first at ""poor quality of service"" https://t.co/a7WMOpasVI",Strong
"How about increase in quality of service rendered, heck about they just meet the bare minimum we're already paying for? Even glo? The cheek😠 https://t.co/uwcN5Azyz2",Strong
"Before, based on quality of service, 
Etisalat
Mtn
Airtel
Others
Glo

Now; 
Mtn
Airtel
Others
9mobile
Glo. 

Anything naija touches goes bad",Weak
" improve on your quality of service.
Glo internet service is not encouraging me at all",Neutral
"MTN, Glo fined total of US$ 909000 for Quality of #Service (QoS) breaches in Benin https://t.co/Kgr9Z6GiPe #telecoms #regulation #compliance",Neutral
"MTN, Glo fined total of US$ 909,000 for Quality of #Service breaches in Benin https://t.co/MDJhZpSuCE #telecoms #regulation",Neutral
Lol“: But really Glo should be ashamed of the quality of service they are rendering. In 2017 very bad”,Strong
But really Glo should be ashamed of the quality of service they are rendering. In 2017 very bad,Weak
"NCC declares `state of emergency’ on quality of service by operators
https://t.co/Dzt61ytv8B
#news #NCC #MTN #glo #Etisalat #Airtel https://t.co/RSc0FnUC1l",Neutral
"Ok ladies... I need a new place for pedicures! I've been going to Glo for about 4 years, but the quality  of service, color selection, and …",Strong
"  one of the issues they raised. Glo sells the lowest data, but have probably the worst Quality of Service.",Very Weak
#Benin MTN and Glo ordered to compensate customers for poor quality of service by regulator,Weak
" oh yeah, U can say that again. The truth is some people still dont know #Glo now has better &amp; improved quality of service.",Strong
Glo is bent on remaining the defacto mobile data option in Nigeria. They just need to improve quality of service. https://t.co/ZC175vh756,Neutral
"Yes more of such but better quality of service, Etisalat got it good can't say same for MTN &amp; GLO. https://t.co/F1Tx1UUzpY",Strong
This Glo thing is tempting. Just skeptical due to the number of complaints I read daily on my TL over their quality of service.,Weak
Glo for the win. If only the quality of service can get better.,Strong
"Glo epitomises everything that is wrong with this country, they increase their charges and simultaneously reduce quality of service",Weak
" if only Glo cn use d money 4 advertisement on improving d quality of service, maybe jst maybe they'll be d best in Africa.am tired",Strong
   glo forgot that it is d quality of service dat sells a network n not celebrities,Neutral
". Ur engineers shld be place at strategic places to monitor d quality of service and act if found below optimum.
Glo: unlimited.",Very Strong
". I think glo has d best data plan and bundle in Nja, however e4t must b put in place wrt quality of service.",Very Strong
"Gov. Ibrahim Shema has praised Glo's quality of service in Katsina State, saying dis is why most subscribers in d State are on d Glo network",Strong
[LEADERSHIP] Xraying Glo’s Network Modernisation Project: The battle for enhanced quality of service in Nigeri... http://t.co/V1wzaJqZ64,Neutral
"Nigerian regulator extends ban placed on sale of new SIM cards by  Glo, MTN and Airtel  over poor quality of service  http://t.co/lJ6pYRQYbP",Weak
"Nig Communications Commission has extended ban on sale of SIM cards by MTN, Airtel &amp;  Glo over Quality of Service",Neutral
Glo Pledges Improved Quality of Service  via  http://t.co/aCzYPwXqZm via ,Neutral
"NIGERIAN TELCOS PAY FOR POOR QUALITY OF SERVICE TO NCC!
... Airtel, Glo and MTN were fined a combined... http://t.co/2gGVkX5fgS",Weak
"#Nigeria: Glo, MTN and Airtel pay the fines from NCC for low quality of service",Neutral
"Welcome To BloomEnt Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service... http://t.co/fjFyswzWWb *O_O* via ",Strong
"Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered: Nigerian Communications Comm... http://t.co/P5z3EVpquF",Weak
"Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered: Nigerian Communications Comm... http://t.co/Gilib1sSk7",Weak
" | Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/r2tuVkMm6X #Blooment",Weak
" | Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/KzGoNOEQCQ #Blooment",Weak
" | Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/ptYCgedpA0 #Blooment",Weak
" | Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/4Gnv8HcjRa #Blooment",Weak
" | Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/SqJ9467ugt #Blooment",Weak
"Tech: MTN, Airtel, Glo To Pay N647.5million For Poor Quality Of Service Rendered http://t.co/5f7QOk8EJ6 *O_O*",Weak
"Talk about ganging-up to fix quality of service RT : MTN, Airtel, Glo to pay N678 MILLION in fines for poor-quality services.",Neutral
"NCC fines MTN, Glo, Airtel N647.5m for poor quality of service http://t.co/cWgy6hp1oG",Weak
"NCC fines Airtel, Glo &amp; MTN N647.5m for failing 2meet Key Performance Indicators on quality of service in Jan 2014 &amp;bars em frm selling SIMs",Neutral
"Its about time. "": NCC has handed MTN, Airtel, Glo &amp; Etisalat a fine of N1.2b for failing to adhere to quality of service.""",Strong
"NCC has handed MTN, Airtel, Glo &amp; Etisalat a fine of N1.2b for failing to adhere to quality of service regulations of d commission in 2012.",Strong
"NCC has handed MTN, Airtel, Glo &amp; Etisalat a fine of N1.2b for failing to adhere to quality of service regulations of the commission in 2012",Strong
"2431"": "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo",Neutral
2314 RT : Rate our telcos on Quality of Service by just responding with 1234 for example - 1. MTN 2. Etisalat 3. Airtel 4. Glo,Neutral
"2222  "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
"222221 3      4 "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
"2143  "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""""",Neutral
"2314 "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""""",Neutral
2341 RT : Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo,Neutral
"2413 RT "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""”",Neutral
"2341 "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
"1243 RT "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""""",Neutral
"1342 "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
"2413 : Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""""",Neutral
"2341 "": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
1243 “: Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo”,Neutral
3421 RT : Rate our telcos on Quality of Service by just responding with 1234 for example - 1. MTN 2. Etisalat 3. Airtel 4. Glo,Neutral
"2"": Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo""",Neutral
Rate our telcos on Quality of Service by just responding with 123 or 4 - 1. MTN 2. Etisalat 3. Airtel 4. Glo,Neutral
"On a scale of 1 to 10, rate these GSM service provider with respect to quality of service delivery:
 Airtel
 Etisalat
 Glo 
MTN",Neutral
"Most Nigerians want better quality of service and price tariffs from the MNOs (MTN, Glo, Airtel, Etisalat) #Nigeria http://t.co/rB3xQiVM3M",Strong
"Glo must nt oo.."": Airtel scales NCC’s quality of service hurdle http://t.co/AvvgXBoKpS""",Neutral
Glo nko? Theirs suppose reach N1b : NCC Fines MTN N90m For Poor Quality Of Service From July-December: ... http://t.co/gqtQcFl8zW,Weak
"In Nigeria, it's MTN and Glo #Sigh RT : Kenya’s Safaricom, Airtel Have the ‘Poorest Quality of Service’ http://t.co/c6uwVr2Z",Neutral
" I never taught with the quality of service I receive with Glo, issues as lil as this will take long to resolve.",Weak
"Since intro of 50% bonus, all mobile operators Quality of Service went bananas. Do u agree? Rate MTN, Glo, Airtel, Etisalat? ",Neutral
Wl some1 pls BEG Glo to stop sending me unsolicited text msgs! Absolutely irritating! Dumb asses! Instead of improving d quality of service,Weak
"BIS on MTN AIRTEL GLO ąπϑ ETISALAT are all just the same, Very poor quality of service #iwantmymoneyback",Weak
"Why are we all quiet about dis terrible quality of service provided by our GSM network providers! MTN,GLO,ZAIN etc",Weak
 glo isn't having data problems ... Mtn just has more coverage shikenah ... But quality of service is very poor.,Weak
"NCC fines MTN, Glo, Airtel and Etisalat N1.17 billion ($7.3m) for falling below minimum standard in quality of service  #infrastructure #ICT",Neutral
"NCC fines MTN, Glo, Airtel and Etisalat N1.17 billion ($7.3m) for falling below minimum standard in quality of service #infrastructure #ICT",Neutral
"""The main factor affecting quality of service is the absence of a reliable source of power."" Joint statement by Airtel,Etisalat,Glo &amp; MTN.",Strong
"MTN, &lt;b&gt;Airtel&lt;/b&gt;, Glo fined $7.4 m for poor quality of service in Nigeria &lt;b&gt;...&lt;/b&gt; http://t.co/9cxVW8KJ",Weak
"MTN, &lt;b&gt;Airtel&lt;/b&gt;, Glo fined $7.4 m for poor quality of service in Nigeria &lt;b&gt;...&lt;/b&gt; http://t.co/h3wGAVWd",Weak
"Mtn, Airtel, Glo fined $7.4million for poor quality of service in Nigeria http://t.co/akTdjBBx",Weak
"Nigeria: MTN, Airtel, GLO Fined U.S.$7.4 Million for Poor Quality of Service in Nigeria: [Ghanaian Chronicle]
  ... http://t.co/dZyiDD9g",Weak
"MTN, Airtel, Glo fined $7.4 m for poor quality of service in Nigeria - Ghanaian Chronicle http://t.co/ylB5DjBt http://t.co/TgzqrUAp",Weak
"MTN, Airtel, Glo fined $7.4 m for poor quality of service in Nigeria - Ghanaian Chronicle http://t.co/BXVkZtjn http://t.co/TgzqrUAp",Weak
"Eeek! #MTN, #Airtel, #Glo fined millions of dollars for poor quality of service in #Nigeria   http://t.co/LBcrrNZY #mobile",Weak
"MTN, Airtel, Glo fined millions of dollars for poor quality of service   #World #Africa http://t.co/hll2qDyY",Weak
"NCC Fines MTN, Airtel, Glo and Etisalat N1.17 Billion For Poor Quality Of Service In Nigeria. http://t.co/6LjnBc84 via ",Weak
"MTN, Airtel, Glo fined millions of dollars for poor quality of service in Nigeria   http://t.co/wijKSPFj via ",Weak
"MTN, Airtel, Glo fined millions of dollars for poor quality of service in Nigeria http://t.co/IaBzE7UD",Weak
"NCC slams MTN,  ETISALAT, Airtel, Glo with N1.17b penalty over poor quality of service http://t.co/KHYWOuoU",Weak
"MTN, Airtel, Glo fined millions of dollars for poor quality of service in Nigeria .... http://t.co/oRnNy0Ye"" &amp; we charge em coins! Oh Ghana!",Weak
"MTN, Airtel, Glo fined millions of dollars for poor quality of service in Nigeria   http://t.co/jCFT0JRz via ",Weak
""": NCC slams MTN, ETISALAT, Airtel, Glo with N1.17b penalty over poor quality of service http://t.co/WEbH4KhH """,Weak
"NCC slams MTN, Etisalat, Airtel &amp; GLO with N1.17Bn penalty over poor quality of service. #CashlessLagos",Weak
""": NCC slams MTN, ETISALAT, Airtel, Glo with N1.17b penalty over poor quality of service http://t.co/9EAZtvsK """,Weak
"NCC slams MTN, ETISALAT, AIRTEL, GLO with N1.7b penalty over poor quality of service http://t.co/Xz9AqdyM",Weak
"MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service: The Nigerian Communications Co... http://t.co/LWMUR3oL",Weak
"So al netwrk service providers (MTN,Glo,Airtel n Etisalat) r to pay N1.17bn for poor quality of service..whr я̲̅ we submittin our acct nos?",Weak
"Who's receiving the cash? RT : MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service",Weak
"MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service",Weak
"MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service",Weak
"MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service",Weak
"Korrect! "": NCC Slams MTN, Etisalat, Airtel, Glo With N1.17 Billion Penalty Over Poor Quality of Service http://t.co/aC8Tfkbz""",Weak
"NCC Slams MTN, Etisalat, Airtel, Glo With N1.17 Billion Penalty Over Poor Quality of Service http://t.co/K0p4wtn8",Weak
"MTN, Glo, Etisalat, Airtel to pay N1.17bn as penalty for poor quality of service http://t.co/CBEdXQTh via ",Weak
"NCC slams MTN, ETISALAT, Airtel, Glo with N1.17b penalty over poor quality of service http://t.co/RktJOYoS ",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/O1FpYIKY",Weak
"What change 'll it bring? RT : NCC Slams MTN, Etisalat, Airtel, Glo With N1.17 Billion Penalty Over Poor Quality of Service",Weak
"NCC Slams MTN, Etisalat, Airtel, Glo With N1.17 Billion Penalty Over Poor Quality of Service  http://t.co/IAh4U4jc",Weak
"YOLO.&gt;"": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/rj362yIe""",Weak
"#yimu#RT: [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/xrmr5EXV",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/RoaTzNBi",Weak
"Where my moni!"": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/LZNr5lwO",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/leDj1Bcj",Weak
"To who? : RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http:",Weak
"To who? RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service",Weak
"To whom?"": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service",Weak
""": MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/4rfHNtaQ""..pay who? ",Weak
""": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/1gf2V6f5""2 who?",Weak
"Just me o"": To whom? Subscibers? "": MTN,GLO,ETISALAT to pay N1.17bn as penalty for poor quality of service",Weak
"Yayy!!"": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/cuzAs7rT""",Weak
"Nice 1 RT [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/qlCVVy6K",Strong
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/rNlzpF5E",Weak
", Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/wuKMDFU3” Abeg hope Na as credit to customers o.",Weak
"\\^_^// RT : [InformationNigeria] MTN, Glo, Etisalat 4 pay N1.17bn as penalty 4 poor quality of service http://t.co/1StchP4p",Weak
": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/Jp3SQG6d",Weak
"good“: [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/Q8tMV2Rj”",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/h3ViKr23",Weak
"""  MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/NHwTyOmz"" to who?",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/XX6izGWb",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/i4ltaoFu",Weak
"MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service",Weak
"What about PHCN ""  MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/YtvRXhDw""",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/5vUaa12h",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/bJyBWS0h",Weak
""": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty 4 poor quality of service. Who r they payin d money to?",Weak
"Pay to who? Corrupt Nation "": MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/co1MTu8U""",Weak
"To who ?"": [InformationNigeria] MTN,Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/938Tyd4Q",Weak
"  My Question: to who? RT MTN, Glo, Etisalat to pay N1.17bn as penalty 4 poor quality of service RT gud questn",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/1vNbtavX",Weak
"MTN shd pay mor jor! RT : MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service",Weak
"Omg dis aint gud hpe dey won't use it on dere workas "":MTN,Glo,Etisalat to pay N1.17bn as penalty 4 poor quality of service",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/ozUxHFiA",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/JzZWdJIL",Weak
"Mshew!"": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/nhCaPWj9""",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/htSaA1DH",Weak
"MTN shud pay double.. [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/0fSVtIkE""",Weak
" when mtn, Glo and Etisalat offer poor quality of service their customers suffer,so customers should be compensated not ...",Weak
""": [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/jUnmXWPW""",Weak
"LOOL RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/VvOu3rdt",Weak
"I wish RT :[InformationNigeria]MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/iJwrXl7m",Weak
"RT : [InformationNigeria] MTN, Glo, Etisalat to pay N1.17bn as penalty for poor quality of service http://t.co/5grq67Ap",Weak
